Latitude,Longitude,DIST_LGD,DISTRICT,STATE_LGD,STATE_UT,match
6.875,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
6.875,93.875,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,point
7.125,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
7.125,93.875,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,point
7.375,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,point
7.875,93.375,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
7.875,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.125,77.125,629,KANNIYAKUMARI,33,TAMIL NADU,overlap
8.125,77.375,629,KANNIYAKUMARI,33,TAMIL NADU,point
8.125,77.625,628,TIRUNELVELI,33,TAMIL NADU,overlap
8.125,77.875,628,TIRUNELVELI,33,TAMIL NADU,overlap
8.125,93.125,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.125,93.375,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.125,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.375,73.125,587,Lakshadweep,31,LAKSHADWEEP,overlap
8.375,76.875,601,Thiruvananthapuram,32,KERALA,overlap
8.375,77.125,601,Thiruvananthapuram,32,KERALA,point
8.375,77.375,629,KANNIYAKUMARI,33,TAMIL NADU,point
8.375,77.625,628,TIRUNELVELI,33,TAMIL NADU,point
8.375,77.875,627,THOOTHUKUDI,33,TAMIL NADU,point
8.375,78.125,627,THOOTHUKUDI,33,TAMIL NADU,overlap
8.375,93.125,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.375,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.625,76.625,601,Thiruvananthapuram,32,KERALA,overlap
8.625,76.875,601,Thiruvananthapuram,32,KERALA,point
8.625,77.125,601,Thiruvananthapuram,32,KERALA,point
8.625,77.375,628,TIRUNELVELI,33,TAMIL NADU,point
8.625,77.625,628,TIRUNELVELI,33,TAMIL NADU,point
8.625,77.875,627,THOOTHUKUDI,33,TAMIL NADU,point
8.625,78.125,627,THOOTHUKUDI,33,TAMIL NADU,point
8.625,93.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
8.875,76.625,600,Kollam,32,KERALA,point
8.875,76.875,600,Kollam,32,KERALA,point
8.875,77.125,600,Kollam,32,KERALA,point
8.875,77.375,764,TENKASI,33,TAMIL NADU,point
8.875,77.625,628,TIRUNELVELI,33,TAMIL NADU,point
8.875,77.875,627,THOOTHUKUDI,33,TAMIL NADU,point
8.875,78.125,627,THOOTHUKUDI,33,TAMIL NADU,point
8.875,78.375,627,THOOTHUKUDI,33,TAMIL NADU,overlap
8.875,92.875,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
9.125,76.375,598,Alappuzha,32,KERALA,overlap
9.125,76.625,600,Kollam,32,KERALA,point
9.125,76.875,600,Kollam,32,KERALA,point
9.125,77.125,599,Pathanamthitta,32,KERALA,point
9.125,77.375,764,TENKASI,33,TAMIL NADU,point
9.125,77.625,764,TENKASI,33,TAMIL NADU,point
9.125,77.875,627,THOOTHUKUDI,33,TAMIL NADU,point
9.125,78.125,627,THOOTHUKUDI,33,TAMIL NADU,point
9.125,78.375,626,RAMANATHAPURAM,33,TAMIL NADU,point
9.125,78.625,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.125,78.875,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.125,79.125,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.125,79.375,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.125,92.625,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
9.125,92.875,638,NICOBARS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
9.375,76.375,598,Alappuzha,32,KERALA,point
9.375,76.625,599,Pathanamthitta,32,KERALA,point
9.375,76.875,599,Pathanamthitta,32,KERALA,point
9.375,77.125,599,Pathanamthitta,32,KERALA,point
9.375,77.375,764,TENKASI,33,TAMIL NADU,point
9.375,77.625,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.375,77.875,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.375,78.125,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.375,78.375,626,RAMANATHAPURAM,33,TAMIL NADU,point
9.375,78.625,626,RAMANATHAPURAM,33,TAMIL NADU,point
9.375,78.875,626,RAMANATHAPURAM,33,TAMIL NADU,point
9.375,79.125,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.375,79.375,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.625,76.375,598,Alappuzha,32,KERALA,point
9.625,76.625,597,Kottayam,32,KERALA,point
9.625,76.875,597,Kottayam,32,KERALA,point
9.625,77.125,596,Idukki,32,KERALA,point
9.625,77.375,624,THENI,33,TAMIL NADU,point
9.625,77.625,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.625,77.875,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.625,78.125,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.625,78.375,625,VIRUDHUNAGAR,33,TAMIL NADU,point
9.625,78.625,622,SIVAGANGA,33,TAMIL NADU,point
9.625,78.875,626,RAMANATHAPURAM,33,TAMIL NADU,point
9.625,79.125,626,RAMANATHAPURAM,33,TAMIL NADU,overlap
9.875,76.125,595,Ernakulam,32,KERALA,overlap
9.875,76.375,595,Ernakulam,32,KERALA,point
9.875,76.625,595,Ernakulam,32,KERALA,point
9.875,76.875,596,Idukki,32,KERALA,point
9.875,77.125,596,Idukki,32,KERALA,point
9.875,77.375,624,THENI,33,TAMIL NADU,point
9.875,77.625,624,THENI,33,TAMIL NADU,point
9.875,77.875,623,MADURAI,33,TAMIL NADU,point
9.875,78.125,623,MADURAI,33,TAMIL NADU,point
9.875,78.375,622,SIVAGANGA,33,TAMIL NADU,point
9.875,78.625,622,SIVAGANGA,33,TAMIL NADU,point
9.875,78.875,622,SIVAGANGA,33,TAMIL NADU,point
9.875,79.125,621,PUDUKKOTTAI,33,TAMIL NADU,overlap
10.125,73.625,587,Lakshadweep,31,LAKSHADWEEP,overlap
10.125,76.125,595,Ernakulam,32,KERALA,overlap
10.125,76.375,595,Ernakulam,32,KERALA,point
10.125,76.625,595,Ernakulam,32,KERALA,point
10.125,76.875,595,Ernakulam,32,KERALA,point
10.125,77.125,596,Idukki,32,KERALA,point
10.125,77.375,624,THENI,33,TAMIL NADU,point
10.125,77.625,624,THENI,33,TAMIL NADU,point
10.125,77.875,612,DINDIGUL,33,TAMIL NADU,point
10.125,78.125,623,MADURAI,33,TAMIL NADU,point
10.125,78.375,623,MADURAI,33,TAMIL NADU,point
10.125,78.625,622,SIVAGANGA,33,TAMIL NADU,point
10.125,78.875,622,SIVAGANGA,33,TAMIL NADU,point
10.125,79.125,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.125,79.375,620,THANJAVUR,33,TAMIL NADU,overlap
10.375,76.125,594,Thrissur,32,KERALA,point
10.375,76.375,594,Thrissur,32,KERALA,point
10.375,76.625,594,Thrissur,32,KERALA,point
10.375,76.875,632,COIMBATORE,33,TAMIL NADU,point
10.375,77.125,633,TIRUPPUR,33,TAMIL NADU,point
10.375,77.375,612,DINDIGUL,33,TAMIL NADU,point
10.375,77.625,612,DINDIGUL,33,TAMIL NADU,point
10.375,77.875,612,DINDIGUL,33,TAMIL NADU,point
10.375,78.125,612,DINDIGUL,33,TAMIL NADU,point
10.375,78.375,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
10.375,78.625,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.375,78.875,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.375,79.125,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.375,79.375,620,THANJAVUR,33,TAMIL NADU,point
10.375,79.625,619,THIRUVARUR,33,TAMIL NADU,point
10.375,79.875,618,NAGAPATTINAM,33,TAMIL NADU,overlap
10.625,72.625,587,Lakshadweep,31,LAKSHADWEEP,overlap
10.625,75.875,592,Malappuram,32,KERALA,overlap
10.625,76.125,594,Thrissur,32,KERALA,point
10.625,76.375,594,Thrissur,32,KERALA,point
10.625,76.625,593,Palakkad,32,KERALA,point
10.625,76.875,632,COIMBATORE,33,TAMIL NADU,point
10.625,77.125,632,COIMBATORE,33,TAMIL NADU,point
10.625,77.375,633,TIRUPPUR,33,TAMIL NADU,point
10.625,77.625,612,DINDIGUL,33,TAMIL NADU,point
10.625,77.875,612,DINDIGUL,33,TAMIL NADU,point
10.625,78.125,612,DINDIGUL,33,TAMIL NADU,point
10.625,78.375,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
10.625,78.625,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.625,78.875,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.625,79.125,621,PUDUKKOTTAI,33,TAMIL NADU,point
10.625,79.375,619,THIRUVARUR,33,TAMIL NADU,point
10.625,79.625,619,THIRUVARUR,33,TAMIL NADU,point
10.625,79.875,618,NAGAPATTINAM,33,TAMIL NADU,overlap
10.625,92.375,640,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
10.625,92.625,640,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
10.875,72.125,587,Lakshadweep,31,LAKSHADWEEP,overlap
10.875,75.875,592,Malappuram,32,KERALA,overlap
10.875,76.125,593,Palakkad,32,KERALA,point
10.875,76.375,593,Palakkad,32,KERALA,point
10.875,76.625,593,Palakkad,32,KERALA,point
10.875,76.875,632,COIMBATORE,33,TAMIL NADU,point
10.875,77.125,632,COIMBATORE,33,TAMIL NADU,point
10.875,77.375,633,TIRUPPUR,33,TAMIL NADU,point
10.875,77.625,633,TIRUPPUR,33,TAMIL NADU,point
10.875,77.875,613,KARUR,33,TAMIL NADU,point
10.875,78.125,613,KARUR,33,TAMIL NADU,point
10.875,78.375,613,KARUR,33,TAMIL NADU,point
10.875,78.625,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
10.875,78.875,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
10.875,79.125,620,THANJAVUR,33,TAMIL NADU,point
10.875,79.375,619,THIRUVARUR,33,TAMIL NADU,point
10.875,79.625,619,THIRUVARUR,33,TAMIL NADU,point
10.875,79.875,618,NAGAPATTINAM,33,TAMIL NADU,overlap
10.875,92.125,640,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
10.875,92.375,640,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
10.875,92.625,640,SOUTH ANDAMANS,35,ANDAMAN AND NICOBAR ISLANDS,overlap
11.125,72.625,587,Lakshadweep,31,LAKSHADWEEP,overlap
11.125,72.875,587,Lakshadweep,31,LAKSHADWEEP,overlap
11.125,75.875,592,Malappuram,32,KERALA,point
11.125,76.125,592,Malappuram,32,KERALA,point
11.125,76.375,592,Malappuram,32,KERALA,point
11.125,76.625,593,Palakkad,32,KERALA,point
11.125,76.875,632,COIMBATORE,33,TAMIL NADU,point
11.125,77.125,632,COIMBATORE,33,TAMIL NADU,point
11.125,77.375,633,TIRUPPUR,33,TAMIL NADU,point
11.125,77.625,633,TIRUPPUR,33,TAMIL NADU,point
11.125,77.875,610,ERODE,33,TAMIL NADU,point
11.125,78.125,609,NAMAKKAL,33,TAMIL NADU,point
11.125,78.375,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
11.125,78.625,614,TIRUCHIRAPPALLI,33,TAMIL NADU,point
11.125,78.875,615,PERAMBALUR,33,TAMIL NADU,point
11.125,79.125,616,ARIYALUR,33,TAMIL NADU,point
11.125,79.375,616,ARIYALUR,33,TAMIL NADU,point
11.125,79.625,696,MAYILADUTHURAI,33,TAMIL NADU,point
11.125,79.875,696,MAYILADUTHURAI,33,TAMIL NADU,overlap
11.375,72.875,587,Lakshadweep,31,LAKSHADWEEP,overlap
11.375,75.625,591,Kozhikode,32,KERALA,overlap
11.375,75.875,591,Kozhikode,32,KERALA,point
11.375,76.125,592,Malappuram,32,KERALA,point
11.375,76.375,592,Malappuram,32,KERALA,point
11.375,76.625,611,THE NILGIRIS,33,TAMIL NADU,point
11.375,76.875,611,THE NILGIRIS,33,TAMIL NADU,point
11.375,77.125,632,COIMBATORE,33,TAMIL NADU,point
